Template model,Target model,Target chemical,Target ID,Air condition,Carbon source,Target reactions,Improved YT (mol/mol),Previous YT (mol/mol),Increased percentage (%)
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-glucose,GCALDDy;HPYRDC;HPYRP,1.26666666666666,1.23599999999999,2.48112189859763
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-glucose,ACOAD7f;CTECOAI7,1.26,1.23599999999999,1.94174757281555
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-glucose,ADHEr,1.26666666666666,1.23599999999999,2.48112189859763
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-glucose,ACOAD7f;r1252,1.26,1.23599999999999,1.94174757281557
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-glucose,GCALDD;HPYRDC;HPYRP,1.26666666666666,1.23599999999999,2.48112189859763
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-glucose,ACOAD8f;CTECOAI8;FACOAL181,1.26,1.23599999999999,1.94174757281555
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-glucose,FMNRx2_copy1,1.26666666666666,1.23599999999999,2.48112189859763
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-glucose,GCALDD;HPYRDC;SPTc,1.26666666666666,1.23599999999999,2.48112189859763
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-glucose,FDH7;POR_2,1.26666666666666,1.23599999999999,2.48112189859766
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-glucose,GCALDDy;HPYRDC;SPTc,1.26666666666666,1.23599999999999,2.48112189859763
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,fructose,GCALDDy;HPYRDC;HPYRP,1.26666666666666,1.236,2.48112189859761
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,fructose,ACOAD7f;CTECOAI7,1.26,1.236,1.94174757281553
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,fructose,ADHEr,1.26666666666666,1.236,2.48112189859761
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,fructose,ACOAD7f;r1252,1.26,1.236,1.94174757281566
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,fructose,GCALDD;HPYRDC;HPYRP,1.26666666666666,1.236,2.48112189859763
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,fructose,ACOAD8f;CTECOAI8;FACOAL181,1.26,1.236,1.94174757281555
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,fructose,FMNRx2_copy1,1.26666666666666,1.236,2.48112189859761
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,fructose,GCALDD;HPYRDC;SPTc,1.26666666666666,1.236,2.48112189859761
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,fructose,FDH7;POR_2,1.26666666666666,1.236,2.48112189859761
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,fructose,GCALDDy;HPYRDC;SPTc,1.26666666666666,1.236,2.48112189859763
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-galactose,GCALDDy;HPYRDC;HPYRP,1.26666666666666,1.23599999999999,2.48112189859763
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-galactose,ACOAD7f;CTECOAI7,1.26,1.23599999999999,1.94174757281557
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-galactose,ADHEr,1.26666666666666,1.23599999999999,2.48112189859766
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-galactose,ACOAD7f;r1252,1.26,1.23599999999999,1.94174757281555
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-galactose,GCALDD;HPYRDC;HPYRP,1.26666666666666,1.23599999999999,2.48112189859763
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-galactose,ACOAD8f;CTECOAI8;FACOAL181,1.26,1.23599999999999,1.94174757281557
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-galactose,FMNRx2_copy1,1.26666666666666,1.23599999999999,2.48112189859766
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-galactose,GCALDD;HPYRDC;SPTc,1.26666666666666,1.23599999999999,2.4811218985977
yeast850,yeast850_actn__R,(R)-acetoin,actn__R,microaerobic,D-galactose,FDH7;POR_2,1.26666666666666,1.23599999999999,2.48112189859763
