Template model,Taget model,Target chemical,Target ID,Air_condition,Carbon source,Target reaction,Previous cofactor,New cofactor,Improved YT (mol/mol),Previous YT (mol/mol),Increased percentage (%)
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,GAPD,NADH,NADPH,1.22155688916027,1.19205298302836,2.47504989727525
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,PDH,NADH,NADPH,1.22155688919373,1.19205298302836,2.47504990008229
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,VALDHr,NADH,NADPH,1.26666666971322,1.19205298302836,6.25925925669077
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,TRDR,NADPH,NADH,1.22834645939198,1.19205298302836,3.04461939866236
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,MDH,NADH,NADPH,1.26666666972318,1.19205298302836,6.25925925752652
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,GLUDxi,NADH,NADPH,1.26666666971426,1.19205298302836,6.25925925677761
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,LLEUDr,NADH,NADPH,1.26666666997771,1.19205298302836,6.25925927887871
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,ALDD2x,NADH,NADPH,1.2283464598165,1.19205298302836,3.04461943427538
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,ALAD_L,NADH,NADPH,1.26666666966903,1.19205298302836,6.25925925298398
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,fructose,GAPD,NADH,NADPH,1.21637427193724,1.17365269749758,3.64005250707941
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,fructose,PDH,NADH,NADPH,1.20670391058414,1.17365269749758,2.81609825095925
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,fructose,VALDHr,NADH,NADPH,1.24324324664548,1.17365269749758,5.92939881587433
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,fructose,TRDR,NADPH,NADH,1.20279720575475,1.17365269749758,2.48323105457997
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,fructose,THRD,NADH,NADPH,1.18709677549108,1.17365269749758,1.14549031601685
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,fructose,MDH,NADH,NADPH,1.24324324600648,1.17365269749758,5.92939876142903
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,fructose,ASAD,NADPH,NADH,1.18709677708117,1.17365269749758,1.14549045149903
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,fructose,GLUDxi,NADH,NADPH,1.24324324629188,1.17365269749758,5.92939878574607
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,fructose,HSDy,NADPH,NADH,1.18709677708118,1.17365269749758,1.14549045149923
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,fructose,LLEUDr,NADH,NADPH,1.24324324629151,1.17365269749758,5.92939878571492
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,fructose,ALDD2x,NADH,NADPH,1.20279720641814,1.17365269749758,2.48323111110306
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,fructose,ALAD_L,NADH,NADPH,1.24324324600649,1.17365269749758,5.92939876142979
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-galactose,GAPD,NADH,NADPH,1.21556886292333,1.18543046450494,2.54240120536994
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-galactose,PDH,NADH,NADPH,1.21556886322678,1.18543046450494,2.54240123096769
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-galactose,VALDHr,NADH,NADPH,1.25925926022507,1.18543046450494,6.22801572346678
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-galactose,TRDR,NADPH,NADH,1.22047244189389,1.18543046450494,2.95605507351137
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-galactose,MDH,NADH,NADPH,1.25925926022507,1.18543046450494,6.22801572346694
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-galactose,GLUDxi,NADH,NADPH,1.25925926142595,1.18543046450494,6.22801582477041
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-galactose,LLEUDr,NADH,NADPH,1.25925926033793,1.18543046450494,6.22801573298772
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-galactose,ALDD2x,NADH,NADPH,1.22047244228882,1.18543046450494,2.95605510682723
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-galactose,ALAD_L,NADH,NADPH,1.25925925993898,1.18543046450494,6.22801569933271
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,glycerol,GAPD,NADH,NADPH,0.649122808483247,0.628742516413462,3.24143692175309
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,glycerol,PDH,NADH,NADPH,0.642458102381057,0.628742516413462,2.18143128698107
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,glycerol,VALDHr,NADH,NADPH,0.674074075689183,0.628742516413462,7.20987655396776
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,glycerol,TRDR,NADPH,NADH,0.650349651689551,0.628742516413462,3.43656341221256
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,glycerol,G3PD1ir,NADH,NADPH,0.652694612221845,0.628742516413462,3.80952380077832
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,glycerol,THRD,NADH,NADPH,0.638709678724443,0.628742516413462,1.58525343058346
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,glycerol,MDH,NADH,NADPH,0.674074075630445,0.628742516413462,7.20987654462568
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,glycerol,ASAD,NADPH,NADH,0.63870967886317,0.628742516413462,1.58525345264766
