Template model,Target model,Target chemical,Target ID,Air_condition,Carbon source,Target reaction,MIN_R
iJN1463,iJN1463_12ppd__R,"(R)-propane-1,2-diol",12ppd__R,aerobic,D-glucose,GLCtex,1.0
iJN1463,iJN1463_12ppd__R,"(R)-propane-1,2-diol",12ppd__R,aerobic,D-glucose,TPI,0.9968
iJN1463,iJN1463_12ppd__R,"(R)-propane-1,2-diol",12ppd__R,aerobic,D-glucose,EDA,0.8148
iJN1463,iJN1463_12ppd__R,"(R)-propane-1,2-diol",12ppd__R,aerobic,D-glucose,EDD,0.8148
iJN1463,iJN1463_12ppd__R,"(R)-propane-1,2-diol",12ppd__R,aerobic,D-glucose,ENO,0.7943
iJN1463,iJN1463_12ppd__R,"(R)-propane-1,2-diol",12ppd__R,aerobic,D-glucose,GNK,0.6963
iJN1463,iJN1463_12ppd__R,"(R)-propane-1,2-diol",12ppd__R,aerobic,D-glucose,GLCNt2rpp,0.6963
iJN1463,iJN1463_12ppd__R,"(R)-propane-1,2-diol",12ppd__R,aerobic,D-glucose,GLCDpp,0.6963
iJN1463,iJN1463_12ppd__R,"(R)-propane-1,2-diol",12ppd__R,aerobic,D-glucose,CS,0.6744
iJN1463,iJN1463_12ppd__R,"(R)-propane-1,2-diol",12ppd__R,aerobic,D-glucose,SUCDi,0.6699
iJN1463,iJN1463_12ppd__R,"(R)-propane-1,2-diol",12ppd__R,aerobic,D-glucose,ACONTa,0.6188
iJN1463,iJN1463_12ppd__R,"(R)-propane-1,2-diol",12ppd__R,aerobic,D-glucose,ACONTb,0.6188
iJN1463,iJN1463_12ppd__R,"(R)-propane-1,2-diol",12ppd__R,aerobic,D-glucose,PGL,0.5222
iJN1463,iJN1463_12ppd__S,"(S)-propane-1,2-diol",12ppd__S,aerobic,D-glucose,GLCtex,1.0
iJN1463,iJN1463_12ppd__S,"(S)-propane-1,2-diol",12ppd__S,aerobic,D-glucose,TPI,0.9968
iJN1463,iJN1463_12ppd__S,"(S)-propane-1,2-diol",12ppd__S,aerobic,D-glucose,EDA,0.8148
iJN1463,iJN1463_12ppd__S,"(S)-propane-1,2-diol",12ppd__S,aerobic,D-glucose,EDD,0.8148
iJN1463,iJN1463_12ppd__S,"(S)-propane-1,2-diol",12ppd__S,aerobic,D-glucose,ENO,0.7943
iJN1463,iJN1463_12ppd__S,"(S)-propane-1,2-diol",12ppd__S,aerobic,D-glucose,GNK,0.6963
iJN1463,iJN1463_12ppd__S,"(S)-propane-1,2-diol",12ppd__S,aerobic,D-glucose,GLCNt2rpp,0.6963
iJN1463,iJN1463_12ppd__S,"(S)-propane-1,2-diol",12ppd__S,aerobic,D-glucose,GLCDpp,0.6963
iJN1463,iJN1463_12ppd__S,"(S)-propane-1,2-diol",12ppd__S,aerobic,D-glucose,CS,0.6744
iJN1463,iJN1463_12ppd__S,"(S)-propane-1,2-diol",12ppd__S,aerobic,D-glucose,SUCDi,0.6699
iJN1463,iJN1463_12ppd__S,"(S)-propane-1,2-diol",12ppd__S,aerobic,D-glucose,ACONTa,0.6188
iJN1463,iJN1463_12ppd__S,"(S)-propane-1,2-diol",12ppd__S,aerobic,D-glucose,ACONTb,0.6188
iJN1463,iJN1463_12ppd__S,"(S)-propane-1,2-diol",12ppd__S,aerobic,D-glucose,PGL,0.5222
iJN1463,iJN1463_13ppd,"propane-1,3-diol",13ppd,aerobic,D-glucose,GLCtex,0.9999
iJN1463,iJN1463_13ppd,"propane-1,3-diol",13ppd,aerobic,D-glucose,GLXCL,0.9981
iJN1463,iJN1463_13ppd,"propane-1,3-diol",13ppd,aerobic,D-glucose,ALCD19,0.9931
iJN1463,iJN1463_13ppd,"propane-1,3-diol",13ppd,aerobic,D-glucose,ICL,0.9903
iJN1463,iJN1463_13ppd,"propane-1,3-diol",13ppd,aerobic,D-glucose,CS,0.9251
iJN1463,iJN1463_13ppd,"propane-1,3-diol",13ppd,aerobic,D-glucose,ENO,0.9245
iJN1463,iJN1463_13ppd,"propane-1,3-diol",13ppd,aerobic,D-glucose,ACONTb,0.9117
iJN1463,iJN1463_13ppd,"propane-1,3-diol",13ppd,aerobic,D-glucose,ACONTa,0.9117
iJN1463,iJN1463_13ppd,"propane-1,3-diol",13ppd,aerobic,D-glucose,SUCDi,0.911
iJN1463,iJN1463_13ppd,"propane-1,3-diol",13ppd,aerobic,D-glucose,PGL,0.7348
iJN1463,iJN1463_13ppd,"propane-1,3-diol",13ppd,aerobic,D-glucose,HEX1,0.5423
iJN1463,iJN1463_13ppd,"propane-1,3-diol",13ppd,aerobic,D-glucose,GLCabcpp,0.5423
iJN1463,iJN1463_13ppd,"propane-1,3-diol",13ppd,aerobic,D-glucose,GND,0.535
iJN1463,iJN1463_13ppd,"propane-1,3-diol",13ppd,aerobic,D-glucose,ICDHyr,0.4958
iJN1463,iJN1463_13ppd,"propane-1,3-diol",13ppd,aerobic,D-glucose,TKT1,0.4142
iJN1463,iJN1463_13ppd,"propane-1,3-diol",13ppd,aerobic,D-glucose,TALA,0.4114
iJN1463,iJN1463_13ppd,"propane-1,3-diol",13ppd,aerobic,D-glucose,RPE,0.3786
iJN1463,iJN1463_13ppd,"propane-1,3-diol",13ppd,aerobic,D-glucose,TKT2,0.2478
iJN1463,iJN1463_13ppd_path_1,"propane-1,3-diol",13ppd,aerobic,D-glucose,GLCtex,0.9999
iJN1463,iJN1463_13ppd_path_1,"propane-1,3-diol",13ppd,aerobic,D-glucose,GLXCL,0.9981
iJN1463,iJN1463_13ppd_path_1,"propane-1,3-diol",13ppd,aerobic,D-glucose,ALCD19,0.9931
iJN1463,iJN1463_13ppd_path_1,"propane-1,3-diol",13ppd,aerobic,D-glucose,ICL,0.9903
iJN1463,iJN1463_13ppd_path_1,"propane-1,3-diol",13ppd,aerobic,D-glucose,CS,0.9251
iJN1463,iJN1463_13ppd_path_1,"propane-1,3-diol",13ppd,aerobic,D-glucose,ENO,0.9245
iJN1463,iJN1463_13ppd_path_1,"propane-1,3-diol",13ppd,aerobic,D-glucose,ACONTb,0.9117
iJN1463,iJN1463_13ppd_path_1,"propane-1,3-diol",13ppd,aerobic,D-glucose,ACONTa,0.9117
iJN1463,iJN1463_13ppd_path_1,"propane-1,3-diol",13ppd,aerobic,D-glucose,SUCDi,0.911
iJN1463,iJN1463_13ppd_path_1,"propane-1,3-diol",13ppd,aerobic,D-glucose,PGL,0.7348
iJN1463,iJN1463_13ppd_path_1,"propane-1,3-diol",13ppd,aerobic,D-glucose,HEX1,0.5423
iJN1463,iJN1463_13ppd_path_1,"propane-1,3-diol",13ppd,aerobic,D-glucose,GLCabcpp,0.5423
iJN1463,iJN1463_13ppd_path_1,"propane-1,3-diol",13ppd,aerobic,D-glucose,GND,0.535
iJN1463,iJN1463_13ppd_path_1,"propane-1,3-diol",13ppd,aerobic,D-glucose,ICDHyr,0.4958
iJN1463,iJN1463_13ppd_path_1,"propane-1,3-diol",13ppd,aerobic,D-glucose,TKT1,0.4142
iJN1463,iJN1463_13ppd_path_1,"propane-1,3-diol",13ppd,aerobic,D-glucose,TALA,0.4114
iJN1463,iJN1463_13ppd_path_1,"propane-1,3-diol",13ppd,aerobic,D-glucose,RPE,0.3786
iJN1463,iJN1463_13ppd_path_1,"propane-1,3-diol",13ppd,aerobic,D-glucose,TKT2,0.2478
iJN1463,iJN1463_13ppd_path_2,"propane-1,3-diol",13ppd,aerobic,D-glucose,GLCtex,0.9999
iJN1463,iJN1463_13ppd_path_2,"propane-1,3-diol",13ppd,aerobic,D-glucose,GLXCL,0.9981
iJN1463,iJN1463_13ppd_path_2,"propane-1,3-diol",13ppd,aerobic,D-glucose,ALCD19,0.9931
iJN1463,iJN1463_13ppd_path_2,"propane-1,3-diol",13ppd,aerobic,D-glucose,ICL,0.9903
iJN1463,iJN1463_13ppd_path_2,"propane-1,3-diol",13ppd,aerobic,D-glucose,CS,0.9251
iJN1463,iJN1463_13ppd_path_2,"propane-1,3-diol",13ppd,aerobic,D-glucose,ENO,0.9245
iJN1463,iJN1463_13ppd_path_2,"propane-1,3-diol",13ppd,aerobic,D-glucose,ACONTb,0.9117
iJN1463,iJN1463_13ppd_path_2,"propane-1,3-diol",13ppd,aerobic,D-glucose,ACONTa,0.9117
iJN1463,iJN1463_13ppd_path_2,"propane-1,3-diol",13ppd,aerobic,D-glucose,SUCDi,0.911
iJN1463,iJN1463_13ppd_path_2,"propane-1,3-diol",13ppd,aerobic,D-glucose,PGL,0.7348
iJN1463,iJN1463_13ppd_path_2,"propane-1,3-diol",13ppd,aerobic,D-glucose,HEX1,0.5423
iJN1463,iJN1463_13ppd_path_2,"propane-1,3-diol",13ppd,aerobic,D-glucose,GLCabcpp,0.5423
iJN1463,iJN1463_13ppd_path_2,"propane-1,3-diol",13ppd,aerobic,D-glucose,GND,0.535
iJN1463,iJN1463_13ppd_path_2,"propane-1,3-diol",13ppd,aerobic,D-glucose,ICDHyr,0.4958
iJN1463,iJN1463_13ppd_path_2,"propane-1,3-diol",13ppd,aerobic,D-glucose,TKT1,0.4142
iJN1463,iJN1463_13ppd_path_2,"propane-1,3-diol",13ppd,aerobic,D-glucose,TALA,0.4114
iJN1463,iJN1463_13ppd_path_2,"propane-1,3-diol",13ppd,aerobic,D-glucose,RPE,0.3786
iJN1463,iJN1463_13ppd_path_2,"propane-1,3-diol",13ppd,aerobic,D-glucose,TKT2,0.2478
iJN1463,iJN1463_15dap,cadaverine(2+),15dap,aerobic,D-glucose,LYSDC,1.0
iJN1463,iJN1463_15dap,cadaverine(2+),15dap,aerobic,D-glucose,DAPDC,1.0
iJN1463,iJN1463_15dap,cadaverine(2+),15dap,aerobic,D-glucose,THDPS,1.0
iJN1463,iJN1463_15dap,cadaverine(2+),15dap,aerobic,D-glucose,DHDPRy,1.0
iJN1463,iJN1463_15dap,cadaverine(2+),15dap,aerobic,D-glucose,DAPE,1.0
iJN1463,iJN1463_15dap,cadaverine(2+),15dap,aerobic,D-glucose,SDPDS,1.0
iJN1463,iJN1463_15dap,cadaverine(2+),15dap,aerobic,D-glucose,DHDPS,1.0
iJN1463,iJN1463_15dap,cadaverine(2+),15dap,aerobic,D-glucose,ASPK,1.0
iJN1463,iJN1463_15dap,cadaverine(2+),15dap,aerobic,D-glucose,SDPTA,1.0
iJN1463,iJN1463_15dap,cadaverine(2+),15dap,aerobic,D-glucose,GLCtex,1.0
iJN1463,iJN1463_15dap,cadaverine(2+),15dap,aerobic,D-glucose,NH4tpp,1.0
iJN1463,iJN1463_15dap,cadaverine(2+),15dap,aerobic,D-glucose,ENO,0.9301
iJN1463,iJN1463_15dap,cadaverine(2+),15dap,aerobic,D-glucose,EDA,0.8848
iJN1463,iJN1463_15dap,cadaverine(2+),15dap,aerobic,D-glucose,EDD,0.8848
iJN1463,iJN1463_15dap,cadaverine(2+),15dap,aerobic,D-glucose,GLCDpp,0.7057
iJN1463,iJN1463_15dap,cadaverine(2+),15dap,aerobic,D-glucose,GNK,0.7057
iJN1463,iJN1463_15dap,cadaverine(2+),15dap,aerobic,D-glucose,GLCNt2rpp,0.7057
iJN1463,iJN1463_15dap,cadaverine(2+),15dap,aerobic,D-glucose,CS,0.5362
iJN1463,iJN1463_15dap,cadaverine(2+),15dap,aerobic,D-glucose,SUCDi,0.5222
iJN1463,iJN1463_15dap,cadaverine(2+),15dap,aerobic,D-glucose,PGL,0.5222
iJN1463,iJN1463_15dap,cadaverine(2+),15dap,aerobic,D-glucose,ACONTa,0.3648
iJN1463,iJN1463_15dap,cadaverine(2+),15dap,aerobic,D-glucose,ACONTb,0.3648
