Template model,Target model,Target chemical,Target ID,Air condition,Carbon source,Target reaction,Regulation type,Normalized SoC,SoC,Positive metabolite ID,Negative metabolite ID
iYO844,iYO844_bhb,(R)-3-hydroxybutyrate,bhb,aerobic,D-glucose,ME2,Up,1.0,-0.00538493669223492,pyr_c,mal__L_c
iYO844,iYO844_bhb,(R)-3-hydroxybutyrate,bhb,aerobic,D-glucose,CS,Down,1.0,0.229509327533552,cit_c,accoa_c
iYO844,iYO844_bhb,(R)-3-hydroxybutyrate,bhb,aerobic,D-glucose,ASPT,Down,0.656290235953001,0.167502595650059,fum_c,asp__L_c
iYO844,iYO844_bhb,(R)-3-hydroxybutyrate,bhb,aerobic,fructose,ME2,Up,1.0,0.00368235301688603,pyr_c,mal__L_c
iYO844,iYO844_bhb,(R)-3-hydroxybutyrate,bhb,aerobic,fructose,CS,Down,1.0,0.226296365761656,cit_c,accoa_c
iYO844,iYO844_bhb,(R)-3-hydroxybutyrate,bhb,aerobic,fructose,ASPT,Down,0.604212422341255,0.154187610834138,fum_c,asp__L_c
iYO844,iYO844_bhb,(R)-3-hydroxybutyrate,bhb,aerobic,D-galactose,ME2,Up,1.0,-0.0260989139832219,pyr_c,mal__L_c
iYO844,iYO844_bhb,(R)-3-hydroxybutyrate,bhb,aerobic,D-galactose,CS,Down,1.0,0.230210093051213,cit_c,accoa_c
iYO844,iYO844_bhb,(R)-3-hydroxybutyrate,bhb,aerobic,D-galactose,ASPT,Down,0.6298809298562,0.169646993659412,fum_c,asp__L_c
iYO844,iYO844_bhb,(R)-3-hydroxybutyrate,bhb,aerobic,glycerol,ALATA_L,Up,1.0,0.0621983071977564,pyr_c,akg_c
iYO844,iYO844_bhb,(R)-3-hydroxybutyrate,bhb,aerobic,glycerol,2S6HCCi,Up,1.0,0.0621983071977564,pyr_c,akg_c
iYO844,iYO844_bhb,(R)-3-hydroxybutyrate,bhb,aerobic,glycerol,OCOAT1,Up,0.652006072582421,-0.00491356338811077,aacoa_c,succoa_c
iYO844,iYO844_bhb,(R)-3-hydroxybutyrate,bhb,aerobic,glycerol,FUM,Up,0.529110428624911,-0.0286144268314727,mal__L_c,fum_c
iYO844,iYO844_bhb,(R)-3-hydroxybutyrate,bhb,aerobic,glycerol,CS,Down,1.0,0.178179994780177,cit_c,accoa_c
iYO844,iYO844_bhb,(R)-3-hydroxybutyrate,bhb,aerobic,glycerol,CS,Down,0.697210508590719,0.155362023357012,cit_c,oaa_c
iYO844,iYO844_bhb,(R)-3-hydroxybutyrate,bhb,aerobic,sucrose,ME2,Up,1.0,0.00283095148305843,pyr_c,mal__L_c
iYO844,iYO844_bhb,(R)-3-hydroxybutyrate,bhb,aerobic,sucrose,CS,Down,1.0,0.227545241345455,cit_c,accoa_c
iYO844,iYO844_bhb,(R)-3-hydroxybutyrate,bhb,aerobic,sucrose,ASPT,Down,0.662457226817827,0.164927130871435,fum_c,asp__L_c
iYO844,iYO844_bhb,(R)-3-hydroxybutyrate,bhb,aerobic,D-xylose,ME2,Up,1.0,-0.0305208251155676,pyr_c,mal__L_c
iYO844,iYO844_bhb,(R)-3-hydroxybutyrate,bhb,aerobic,D-xylose,CS,Down,1.0,0.230196622210135,cit_c,accoa_c
iYO844,iYO844_bhb,(R)-3-hydroxybutyrate,bhb,aerobic,D-xylose,ASPT,Down,0.611405724068796,0.168198345008046,fum_c,asp__L_c
iYO844,iYO844_bhb,(R)-3-hydroxybutyrate,bhb,aerobic,L-arabinose,ME2,Up,1.0,-0.0313492910896884,pyr_c,mal__L_c
iYO844,iYO844_bhb,(R)-3-hydroxybutyrate,bhb,aerobic,L-arabinose,CS,Down,1.0,0.23021092127624,cit_c,accoa_c
iYO844,iYO844_bhb,(R)-3-hydroxybutyrate,bhb,aerobic,L-arabinose,ASPT,Down,0.607189759531916,0.167835357429832,fum_c,asp__L_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,D-glucose,ACLS,Up,1.0,0.234701940681918,alac__S_c,pyr_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,D-glucose,ASPO1,Down,1.0,0.151862294202108,oaa_c,asp__L_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,D-glucose,ASPTA,Down,1.0,0.151862294202108,oaa_c,asp__L_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,D-glucose,UNK5,Down,1.0,0.151862294202108,oaa_c,asp__L_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,fructose,ACLS,Up,1.0,0.231637389396562,alac__S_c,pyr_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,fructose,ASPO1,Down,1.0,0.145636015639771,oaa_c,asp__L_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,fructose,ASPTA,Down,1.0,0.145636015639771,oaa_c,asp__L_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,fructose,UNK5,Down,1.0,0.145636015639771,oaa_c,asp__L_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,D-galactose,ACLS,Up,1.0,0.228939877019227,alac__S_c,pyr_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,D-galactose,ASPO1,Down,1.0,0.141999949793469,oaa_c,asp__L_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,D-galactose,ASPTA,Down,1.0,0.141999949793469,oaa_c,asp__L_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,D-galactose,UNK5,Down,1.0,0.141999949793469,oaa_c,asp__L_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,glycerol,VALTA,Up,1.0,0.070936331842155,3mob_c,akg_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,glycerol,ASPT,Down,1.0,0.112114563529597,fum_c,asp__L_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,glycerol,ASPO1,Down,0.556570952166406,0.0936945696620883,oaa_c,asp__L_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,glycerol,ASPTA,Down,0.556570952166406,0.0936945696620883,oaa_c,asp__L_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,glycerol,UNK5,Down,0.556570952166406,0.0936945696620883,oaa_c,asp__L_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,sucrose,ACLS,Up,1.0,0.234701940681925,alac__S_c,pyr_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,sucrose,ASPO1,Down,1.0,0.145699926211439,oaa_c,asp__L_c
iYO844,iYO844_3mob,3-methyl-2-oxobutanoate,3mob,aerobic,sucrose,ASPTA,Down,1.0,0.145699926211439,oaa_c,asp__L_c
