Template model,Target model,Target chemical,Target ID,Yield type,Oxygen availability,Carbon source,molar yield (mol/mol),molar yield (mol/C mol),gram yield (g/g),Max yield (mol/mol),Production flux at max yield (mmol/gDCW/h),Carbon uptake rate at max yield (mmol/gDCW/h)
eciML1515,eciML1515_actn__R,(R)-acetoin,actn__R,YT,aerobic,D-glucose,1.0,0.166666666666666,0.489049372132622,1.17460317460317,14.5443189974226,12.3823256329408
eciML1515,eciML1515_actn__R,(R)-acetoin,actn__R,YA,aerobic,D-glucose,0.998842914889256,0.166473819148209,0.488483500385708,1.1342501472474,33.2875547411133,29.3476309629718
eciML1515,eciML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YT,aerobic,D-glucose,0.18691833456713,0.0311530557611884,0.120518476797884,0.717592592592592,5.74721494833781,8.00902212155462
eciML1515,eciML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,D-glucose,0.170196386146809,0.0283660643578015,0.109736742853073,0.584823923618096,3.07442294384324,5.25700611702559
eciML1515,eciML1515_fum,fumarate(2-),fum,YT,aerobic,D-glucose,1.0,0.166666666666666,0.633097737359446,1.5,44.1565019241925,29.4376679494616
eciML1515,eciML1515_fum,fumarate(2-),fum,YA,aerobic,D-glucose,0.92543429523682,0.154239049206136,0.585890358389265,1.46201508348773,22.6832933352474,15.5150884497955
eciML1515,eciML1515_fum_path_1,fumarate(2-),fum,YT,aerobic,D-glucose,1.0,0.166666666666666,0.633097737359446,1.5,101.191983576274,67.461322384183
eciML1515,eciML1515_fum_path_1,fumarate(2-),fum,YA,aerobic,D-glucose,0.922986634897796,0.153831105816299,0.584340750166804,1.48901433520826,85.8779694153652,57.6743738355973
eciML1515,eciML1515_2ppoh,propan-2-ol,2ppoh,YT,aerobic,D-glucose,1.0,0.166666666666666,0.333572348568362,1.29729729729729,17.316235407616,13.3479314600373
eciML1515,eciML1515_2ppoh,propan-2-ol,2ppoh,YA,aerobic,D-glucose,0.92113963360876,0.153523272268126,0.307266710942274,1.24529951539811,27.4470485459502,22.0405197356683
eciML1515,eciML1515_met_87755,pentan-3-one,met_87755,YT,aerobic,D-glucose,0.142857142857142,0.0238095238095238,0.0682998206093206,0.857142857142857,11.5730185757675,13.501855005062
eciML1515,eciML1515_met_87755,pentan-3-one,met_87755,YA,aerobic,D-glucose,0.135777098794196,0.0226295164656994,0.0649148604334834,0.728430033546243,4.53390751721455,6.22421826176216
eciML1515,eciML1515_3mb,isovalerate,3mb,YT,aerobic,D-glucose,0.666666666666666,0.111111111111111,0.374208379987375,0.84090909090909,6.10559843176636,7.26071164858702
eciML1515,eciML1515_3mb,isovalerate,3mb,YA,aerobic,D-glucose,0.665432668515941,0.110905444752656,0.37351572131404,0.779524200484295,9.78310755904341,12.5501011424218
