Template model,Target model,Target chemical,Target ID,Yield type,Oxygen availability,Carbon source,molar yield (mol/mol),molar yield (mol/C mol),gram yield (g/g)
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YT,aerobic,D-glucose,1.17460317460317,0.195767195767196,0.574438945044669
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,aerobic,D-glucose,1.05199507731515,0.175332512885858,0.514477532047583
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YT,anaerobic,D-glucose,1.07692307692306,0.179487179487178,0.526668554604358
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,anaerobic,D-glucose,0.850703112957367,0.141783852159561,0.416035823263067
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YT,microaerobic,D-glucose,1.11538461538461,0.185897435897435,0.54547814584023
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,microaerobic,D-glucose,0.941410285117323,0.15690171418622,0.460396108855819
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YT,aerobic,fructose,1.17460317460317,0.195767195767195,0.574438945044667
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,aerobic,fructose,1.05199458784237,0.175332431307062,0.514477292671228
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YT,anaerobic,fructose,1.07692307692307,0.179487179487179,0.52666855460436
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,anaerobic,fructose,0.850703230482312,0.141783871747052,0.416035880738568
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YT,microaerobic,fructose,1.11538461538461,0.185897435897435,0.54547814584023
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,microaerobic,fructose,0.941411101543416,0.156901850257236,0.460396508128487
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YT,aerobic,D-galactose,1.16666666666666,0.194444444444443,0.57055760082139
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,aerobic,D-galactose,1.04513927332671,0.174189878887785,0.511124705411574
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YT,anaerobic,D-galactose,1.03846153846154,0.173076923076923,0.507858963368494
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,anaerobic,D-galactose,0.761065283812595,0.126844213968765,0.372198499200485
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YT,microaerobic,D-galactose,1.07692307692307,0.179487179487179,0.526668554604361
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,microaerobic,D-galactose,0.851730164427631,0.141955027404605,0.416538102139747
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YT,aerobic,glycerol,0.642857142857139,0.214285714285713,0.615014185688957
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,aerobic,glycerol,0.573984827946188,0.191328275982062,0.549124817977778
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YT,anaerobic,glycerol,0.300000000000005,0.100000000000001,0.287006619988186
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,anaerobic,glycerol,0.14653459029105,0.04884486343035,0.140187991569291
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YT,microaerobic,glycerol,0.350000000000021,0.116666666666673,0.334841056652898
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,microaerobic,glycerol,0.19153443261203,0.0638448108706766,0.183238833717776
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YT,aerobic,D-xylose,0.970899470899472,0.194179894179894,0.569781331976738
