Template model,Taget model,Target chemical,Target ID,Air condition,Carbon source,Target reaction,Previous cofactor,New cofactor,Improved YT (mol/mol),Previous YT (mol/mol),Increased percentage (%)
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,LLEUDr,NADH,NADPH,1.01317975579594,0.975962523302644,3.81338746157591
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,ALAD_L,NADH,NADPH,1.01317975669881,0.975962523302644,3.81338755408677
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,MDH,NADH,NADPH,1.01317975641518,0.975962523302644,3.813387525025
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,PDH,NADH,NADPH,1.01317975644689,0.975962523302644,3.81338752827373
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,VALDHr,NADH,NADPH,1.01317975677104,0.975962523302644,3.81338756148745
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,GAPD,NADH,NADPH,1.01317975703286,0.975962523302644,3.81338758831402
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-glucose,GLUDxi,NADH,NADPH,1.0131797558142,0.975962523302644,3.81338746344694
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,fructose,LLEUDr,NADH,NADPH,1.00812089551149,0.974030769409391,3.49990238221908
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,fructose,ALAD_L,NADH,NADPH,1.0081208931653,0.974030769409391,3.4999021413447
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,fructose,MDH,NADH,NADPH,1.00812089627598,0.974030769409391,3.49990246070572
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,fructose,PDH,NADH,NADPH,1.00812089598986,0.974030769409391,3.49990243133162
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,fructose,VALDHr,NADH,NADPH,1.00812089594727,0.974030769409391,3.4999024269589
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,fructose,GAPD,NADH,NADPH,1.00812089461741,0.974030769409391,3.49990229042662
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,fructose,GLUDxi,NADH,NADPH,1.00812089811048,0.974030769409391,3.4999026490472
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-galactose,LLEUDr,NADH,NADPH,1.00615823496599,0.970353721976238,3.68984136185239
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-galactose,ALAD_L,NADH,NADPH,1.00615823535819,0.970353721976238,3.68984140227117
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-galactose,MDH,NADH,NADPH,1.00615823656848,0.970353721976238,3.68984152699758
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-galactose,PDH,NADH,NADPH,1.00615823560708,0.970353721976238,3.68984142792059
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-galactose,VALDHr,NADH,NADPH,1.00615823656849,0.970353721976238,3.68984152699876
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-galactose,GAPD,NADH,NADPH,1.00615823579736,0.970353721976238,3.6898414475301
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-galactose,GLUDxi,NADH,NADPH,1.00615823601121,0.970353721976238,3.68984146956807
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,glycerol,LLEUDr,NADH,NADPH,0.548478467136091,0.522119425072267,5.04846990900131
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,glycerol,G3PD1ir,NADH,NADPH,0.546013520180168,0.522119425072267,4.57636585817395
