Target path,yeast850,iYO844,iCW773,iJN1463,iML1515
met_18153,3,3.0,3.0,3.0,3
pime,2,1.0,4.0,3.0,5
1acpc,1,2.0,4.5,4.5,3
gcald,1,2.0,4.0,4.0,4
met_30742,1,2.0,4.0,4.0,4
dha,1,2.0,3.0,5.0,4
glyc,1,2.0,3.0,4.0,5
met_MalSA,3,5.0,1.0,4.0,2
ppa_path_2,3,5.0,2.0,4.0,1
met_35687,3,5.0,2.0,4.0,1
lac__L,3,5.0,2.0,4.0,1
etoh,3,5.0,2.0,4.0,1
ibutoh,3,5.0,2.0,4.0,1
sucsal_path_1,1,4.0,5.0,2.0,3
met_63910,1,4.0,5.0,2.0,3
met_5M2OPT,1,4.0,5.0,2.0,3
met_37808,1,4.0,5.0,2.0,3
met_32879,1,4.0,5.0,2.0,3
met_30362,1,4.0,5.0,2.0,3
met_28579,1,4.0,5.0,2.0,3
met_19641,1,4.0,5.0,2.0,3
met_18153_path_1,1,4.0,5.0,2.0,3
iamac,1,4.0,5.0,2.0,3
gly,1,4.0,5.0,2.0,3
fer,1,4.0,5.0,2.0,3
bhb,1,4.0,5.0,2.0,3
acetone_path_1,1,4.0,5.0,2.0,3
6ax,1,4.0,5.0,2.0,3
4abut,1,4.0,5.0,2.0,3
2oxoadp,1,4.0,5.0,2.0,3
2ppoh,1,4.0,5.0,2.0,3
acgam,1,4.5,4.5,2.0,3
acgam6p,1,4.5,4.5,2.0,3
mev__R,1,5.0,4.0,2.0,3
met__L,1,5.0,4.0,2.0,3
met_87381,1,5.0,4.0,2.0,3
met_63910_path_1,1,5.0,4.0,2.0,3
leu__L,1,5.0,4.0,2.0,3
itacon,1,5.0,4.0,2.0,3
ile__L,1,5.0,4.0,2.0,3
iamoh,1,5.0,4.0,2.0,3
glu__L,1,5.0,4.0,2.0,3
ccmuac,1,5.0,4.0,2.0,3
btoh_path_1,1,5.0,4.0,2.0,3
caro,1,5.0,4.0,2.0,3
oxptn,2,5.0,3.0,1.0,4
5aptn,2,5.0,3.0,1.0,4
glutar,2,5.0,3.0,1.0,4
34dhcinm,1,4.0,3.0,2.0,5
thr__L,1,5.0,3.0,2.0,4
ppoh,1,5.0,3.0,2.0,4
met_LHMA,1,5.0,3.0,2.0,4
met_79112,1,5.0,3.0,2.0,4
met_77761,1,5.0,3.0,2.0,4
met_57302,1,5.0,3.0,2.0,4
L2aadp,1,5.0,3.0,2.0,4
2mbtoh,1,5.0,3.0,2.0,4
2obut,1,5.0,3.0,2.0,4
uacgam,1,5.0,2.0,3.0,4
met_64782,1,5.0,2.0,3.0,4
met_61677,1,5.0,2.0,3.0,4
met_58644,1,5.0,2.0,3.0,4
met_50029,1,5.0,2.0,3.0,4
met_49243,1,5.0,2.0,3.0,4
met_46762,1,5.0,2.0,3.0,4
met_40968,1,5.0,2.0,3.0,4
met_35194,1,5.0,2.0,3.0,4
met_28660,1,5.0,2.0,3.0,4
met_17447,1,5.0,2.0,3.0,4
met_17221,1,5.0,2.0,3.0,4
met_16619,1,5.0,2.0,3.0,4
met_143075,1,5.0,2.0,3.0,4
met_10418,1,5.0,2.0,3.0,4
met_10280,1,5.0,2.0,3.0,4
limnen,1,5.0,2.0,3.0,4
ggdp,1,5.0,2.0,3.0,4
frdp,1,5.0,2.0,3.0,4
arg__L,1,5.0,2.0,3.0,4
agm,1,5.0,2.0,3.0,4
5g2oxpt,1,5.0,2.0,3.0,4
Ncbmpts,1,5.0,2.0,3.0,4
ptrc,1,5.0,2.0,4.0,3
orn,1,5.0,2.0,4.0,3
octp,1,5.0,2.0,4.0,3
nop,1,5.0,2.0,4.0,3
met_GBL,1,5.0,2.0,4.0,3
met_DHBA,1,5.0,2.0,4.0,3
met_DHB,1,5.0,2.0,4.0,3
met_88063,1,5.0,2.0,4.0,3
met_75317,1,5.0,2.0,4.0,3
met_6PHX,1,5.0,2.0,4.0,3
met_62898,1,5.0,2.0,4.0,3
met_58113,1,5.0,2.0,4.0,3
met_57484,1,5.0,2.0,4.0,3
met_14BDO,1,5.0,2.0,4.0,3
lys__L,1,5.0,2.0,4.0,3
hom__L,1,5.0,2.0,4.0,3
citr__L,1,5.0,2.0,4.0,3
aspsa,1,5.0,2.0,4.0,3
argsuc,1,5.0,2.0,4.0,3
acryl,1,5.0,2.0,4.0,3
5apentam,1,5.0,2.0,4.0,3
4hoxoh,1,5.0,2.0,4.0,3
15dap,1,5.0,2.0,4.0,3
36dahx,1,5.0,2.0,4.0,3
met_3HXTYR,1,4.0,3.0,5.0,2
dopa,1,4.0,3.0,5.0,2
met_39785,1,4.0,3.0,5.0,2
4hoxpac,2,5.0,3.0,4.0,1
tyr__L,1,5.0,3.0,4.0,2
tym,1,5.0,3.0,4.0,2
skm,1,5.0,3.0,4.0,2
ppoh_path_3,1,5.0,3.0,4.0,2
ppoh_path_2,1,5.0,3.0,4.0,2
pphn,1,5.0,3.0,4.0,2
ppal,1,5.0,3.0,4.0,2
phpyr,1,5.0,3.0,4.0,2
phenol,1,5.0,3.0,4.0,2
