Reaction set,B. subtilis,C. glutamicum,E. coli,P. putida,S. cerevisiae
FRDO5r;PKETX;POR,2.89037175789616,4.59511985013459,4.31748811353631,0.0,0.0
FRDO5r;PKETF;POR_2,2.89037175789616,4.59511985013459,4.31748811353631,0.0,0.0
FRDO5r;PKETX;POR_2,2.89037175789616,4.59511985013459,4.31748811353631,0.0,0.0
FRDO5r;PKETF;POR,2.89037175789616,4.59511985013459,4.31748811353631,0.0,0.0
GLYCDy;PKETX,4.39444915467243,4.85981240436167,5.22035582507832,0.0,0.0
GLYCDy;PKETF,4.39444915467243,4.85981240436167,5.22035582507832,0.0,0.0
FRDO5r;POR_2,4.39444915467243,5.26269018890488,4.93447393313069,0.0,0.0
FRDO5r;POR,4.39444915467243,5.26269018890488,4.93447393313069,0.0,0.0
GLYCDy,5.3230099791384,5.36597601502185,5.42934562895444,0.693147180559945,0.0
FDH6r,5.43807930892319,4.53259949315325,5.43372200355424,0.0,0.0
FDH7;FRDO5r,5.43807930892319,4.53259949315325,5.43372200355424,0.0,0.0
FDH7;PKETF;POR_2,5.40267738187227,4.72738781871234,3.58351893845611,0.0,0.0
FDH7;PKETX;POR_2,5.40267738187227,4.72738781871234,3.58351893845611,0.0,0.0
FDH6r;PKETX,4.51085950651685,3.87120101090789,4.36944785246702,0.0,0.0
FDH6r;PKETF,4.51085950651685,3.87120101090789,4.36944785246702,0.0,0.0
FDH7;FRDO5r;PKETF,4.49980967033026,3.87120101090789,4.35670882668959,0.0,0.0
FDH7;FRDO5r;PKETX,4.49980967033026,3.87120101090789,4.35670882668959,0.0,0.0
HSDxi,4.30406509320417,3.13549421592914,4.23410650459726,0.0,0.0
HSDx,4.29045944114839,3.13549421592914,4.23410650459726,0.0,0.0
FRDO5r;HSDx;POR,4.18965474202642,3.09104245335831,4.23410650459726,0.0,0.0
FRDO5r;HSDx;POR_2,4.18965474202642,3.09104245335831,4.23410650459726,0.0,0.0
FRDO5r;HSDxi;POR,4.18965474202642,3.09104245335831,4.29045944114839,0.0,0.0
FRDO5r;HSDxi;POR_2,4.17438726989563,3.09104245335831,4.29045944114839,0.0,0.0
2DHPFALDL,1.6094379124341,2.63905732961525,5.20948615284142,0.0,2.39789527279837
H2ASE_syn;PKETX,0.0,3.55534806148941,3.43398720448514,0.0,0.0
H2ASE_syn;PKETF,0.0,3.55534806148941,3.43398720448514,0.0,0.0
H2ASE_syn,0.0,4.60517018598809,5.08759633523238,0.0,0.0
GLYCDy;H2ASE_syn,0.0,5.04342511691924,4.87519732320115,0.0,0.0
FBA2;GLYCDy;KHK,0.0,5.08759633523238,5.11799381241675,0.0,0.0
FRDO5r;H2ASE_syn;POR,0.0,5.09375020080676,5.21493575760898,0.0,0.0
FRDO5r;H2ASE_syn;POR_2,0.0,5.09375020080676,5.21493575760898,0.0,0.0
PFK_ppi,4.00733318523247,0.0,4.0943445622221,5.43807930892319,0.0
PKETF,4.46590811865458,5.33753807970131,5.41610040220442,5.2257466737132,0.0
PKETX,4.46590811865458,5.33753807970131,5.41610040220442,5.22035582507832,0.0
FMNRx2_copy1,0.0,5.3082676974012,0.0,0.0,4.33073334028633
OBTFL,2.83321334405621,1.0986122886681,0.0,1.0986122886681,4.33073334028633
FDH7;POR_2,4.9416424226093,2.89037175789616,2.56494935746153,0.0,4.18965474202642
NADFADOR;POR_2,5.18738580584075,1.6094379124341,1.6094379124341,0.0,3.66356164612964
POR3b;POR_2,5.00394630594545,2.56494935746153,0.0,0.0,3.68887945411393
FDH7;OBTFL;POR_2,4.8283137373023,1.0986122886681,0.0,0.0,2.63905732961525
ACOAD1f;ACOAD1z;POR_2,5.15905529921452,0.0,0.0,0.0,3.66356164612964
ACAFDOR;POR_2,5.19295685089021,0.693147180559945,0.0,0.0,4.15888308335967
AOR_CL;POR_2,5.19295685089021,0.693147180559945,0.0,0.0,4.15888308335967
PFL;TRIOK,0.0,1.0986122886681,0.0,4.9272536851572,0.0
DHAK;GLYCDy,0.0,0.0,0.0,5.40717177146011,0.0
DHAK;GLYCDx,0.0,0.0,0.0,5.40717177146011,0.0
DHAK;F6PA,0.0,0.0,0.0,5.43372200355424,0.0
DHAPT;F6PA,0.0,0.0,0.0,5.43372200355424,0.0
FldAct;GLUFT,0.0,0.0,0.0,5.43807930892319,0.0
r0191,0.0,0.0,0.0,5.43807930892319,0.0
PFK,0.0,0.0,0.0,5.43807930892319,0.0
PFK_adp,0.0,0.0,0.0,5.43807930892319,0.0
FBA3;PFK_3,0.0,0.0,0.0,5.43807930892319,0.0
GLUFT;PFK;TRIOK,0.0,0.0,0.0,5.27299955856374,0.0
GLUFT;PFK_ppi;TRIOK,0.0,0.0,0.0,5.27299955856374,0.0
GLUFT;PFK_adp;TRIOK,0.0,0.0,0.0,5.27299955856374,0.0
GLUFT;TRIOK;r0191,0.0,0.0,0.0,5.27299955856374,0.0
FldAct;GLUFT;r0191,0.0,0.0,0.0,5.31320597904178,0.0
PFL;POR_2,0.0,0.0,0.0,5.3082676974012,0.0
FldAct;GLUFT;PFK_adp,0.0,0.0,0.0,5.3082676974012,0.0
FldAct;GLUFT;PFK,0.0,0.0,0.0,5.3082676974012,0.0
FldAct;GLUFT;PFK_ppi,0.0,0.0,0.0,5.30330490805907,0.0
FBA3;PFK_3;TRIOK,0.0,0.0,0.0,5.29831736654803,0.0
TRIOK;r0191,0.0,0.0,0.0,5.29831736654803,0.0
PFK;TRIOK,0.0,0.0,0.0,5.29831736654803,0.0
PFK_ppi;TRIOK,0.0,0.0,0.0,5.29831736654803,0.0
PFK_adp;TRIOK,0.0,0.0,0.0,5.29831736654803,0.0
DHAK;F6PA;GLYCDx,0.0,0.0,0.0,5.28826703069453,0.0
DHAK;F6PA;GLYCDy,0.0,0.0,0.0,5.28826703069453,0.0
DHAK;F6PA;TRIOK,0.0,0.0,0.0,5.28826703069453,0.0
DHAK;GLYCDy;r0191,0.0,0.0,0.0,5.29330482472449,0.0
DHAK;GLYCDx;PFK,0.0,0.0,0.0,5.29330482472449,0.0
DHAK;GLYCDy;PFK_ppi,0.0,0.0,0.0,5.29330482472449,0.0
DHAK;GLYCDy;PFK_adp,0.0,0.0,0.0,5.29330482472449,0.0
DHAK;GLYCDy;PFK,0.0,0.0,0.0,5.29330482472449,0.0
DHAK;GLYCDx;r0191,0.0,0.0,0.0,5.29330482472449,0.0
DHAK;GLYCDx;PFK_adp,0.0,0.0,0.0,5.29330482472449,0.0
DHAK;GLYCDx;PFK_ppi,0.0,0.0,0.0,5.29330482472449,0.0
KHK;SBTD_D2;SBTR,0.0,0.0,0.0,5.37527840768416,0.0
KHK;XYLI2,0.0,0.0,0.0,5.37527840768416,0.0
GLUFT;GLYDHDA;PFK,0.0,0.0,0.0,5.34233425196481,0.0
GLUFT;GLYDHDA;PFK_adp,0.0,0.0,0.0,5.34233425196481,0.0
GLUFT;GLYDHDA;PFK_ppi,0.0,0.0,0.0,5.34233425196481,0.0
AGTi;GLUFT;r0191,0.0,0.0,0.0,5.34233425196481,0.0
GLUFT;GLYDHDA;r0191,0.0,0.0,0.0,5.34233425196481,0.0
GLUFT;GLYTA;PFK,0.0,0.0,0.0,5.34233425196481,0.0
AGTi;GLUFT;PFK_ppi,0.0,0.0,0.0,5.34233425196481,0.0
AGTi;GLUFT;PFK_adp,0.0,0.0,0.0,5.34233425196481,0.0
GLUFT;GLYTA;PFK_adp,0.0,0.0,0.0,5.34233425196481,0.0
GLUFT;GLYTA;PFK_ppi,0.0,0.0,0.0,5.34233425196481,0.0
AGTi;GLUFT;PFK,0.0,0.0,0.0,5.34233425196481,0.0
GLUFT;GLYTA;r0191,0.0,0.0,0.0,5.34233425196481,0.0
FldAct;GLUFT;TRIOK,0.0,0.0,0.0,5.3230099791384,0.0
DHAPT;F6PA;TRIOK,0.0,0.0,0.0,5.33271879326536,0.0
DHAPT;F6PA;PFL,0.0,0.0,0.0,5.32787616878958,0.0
DHAPT;GLYCDx,0.0,0.0,0.0,5.12396397940325,0.0
DHAPT;GLYCDy,0.0,0.0,0.0,5.12396397940325,0.0
PFK_ppi;PFL;POR_2,0.0,0.0,0.0,5.14166355650266,0.0
PFL;POR_2;r0191,0.0,0.0,0.0,5.14166355650266,0.0
PFK;PFL;POR_2,0.0,0.0,0.0,5.14166355650266,0.0
PFK_adp;PFL;POR_2,0.0,0.0,0.0,5.14166355650266,0.0
DHAK;GLYCDy;PFL,0.0,0.0,0.0,4.91265488573605,0.0
DHAK;GLYCDx;PFL,0.0,0.0,0.0,4.91265488573605,0.0
FldAct;GLUFT;PKETF,0.0,0.0,0.0,4.9272536851572,0.0
FldAct;GLUFT;PKETX,0.0,0.0,0.0,4.9272536851572,0.0
DHAK;GLYCDy;PKETF,0.0,0.0,0.0,4.9416424226093,0.0
DHAK;GLYCDx;PKETF,0.0,0.0,0.0,4.9416424226093,0.0
DHAK;GLYCDx;PKETX,0.0,0.0,0.0,4.9416424226093,0.0
DHAPT;F6PA;GLYCDy,0.0,0.0,0.0,4.9416424226093,0.0
DHAK;GLYCDy;PKETX,0.0,0.0,0.0,4.9416424226093,0.0
DHAPT;F6PA;GLYCDx,0.0,0.0,0.0,4.9416424226093,0.0
DHAK;F6PA;GLUFT,0.0,0.0,0.0,5.0562458053483,0.0
FBA3;GLUFT;PFK_3,0.0,0.0,0.0,5.0562458053483,0.0
GLUFT;PFK_ppi,0.0,0.0,0.0,5.06890420222023,0.0
GLUFT;r0191,0.0,0.0,0.0,5.06890420222023,0.0
GLUFT;PFK,0.0,0.0,0.0,5.06890420222023,0.0
GLUFT;PFK_adp,0.0,0.0,0.0,5.06890420222023,0.0
DHAPT;GLYCDy;r0191,0.0,0.0,0.0,4.99043258677873,0.0
DHAPT;GLYCDx;PFK,0.0,0.0,0.0,4.99043258677873,0.0
DHAPT;GLYCDx;PFK_adp,0.0,0.0,0.0,4.99043258677873,0.0
DHAPT;GLYCDy;PFK_ppi,0.0,0.0,0.0,4.99043258677873,0.0
DHAPT;GLYCDx;PFK_ppi,0.0,0.0,0.0,4.99043258677873,0.0
DHAPT;GLYCDy;PFK_adp,0.0,0.0,0.0,4.99043258677873,0.0
DHAPT;GLYCDy;PFK,0.0,0.0,0.0,4.99043258677873,0.0
DHAPT;GLYCDx;r0191,0.0,0.0,0.0,4.99043258677873,0.0
PFL;PKETF;POR_2,0.0,0.0,0.0,5.00394630594545,0.0
PFL;PKETX;POR_2,0.0,0.0,0.0,5.00394630594545,0.0
PFK_adp;PFL,0.0,0.0,0.0,5.01063529409625,0.0
PFK_ppi;PFL,0.0,0.0,0.0,5.01063529409625,0.0
PFK;PFL,0.0,0.0,0.0,5.01063529409625,0.0
DHAK;F6PA;PFL,0.0,0.0,0.0,5.01063529409625,0.0
FBA3;PFK_3;PFL,0.0,0.0,0.0,5.01063529409625,0.0
PFL;r0191,0.0,0.0,0.0,5.01063529409625,0.0
PPDK,0.0,4.34380542185368,0.693147180559945,4.44265125649031,0.0
PKETX;PPDK,0.0,4.36944785246702,0.693147180559945,3.29583686600432,0.0
PKETF;PPDK,0.0,4.36944785246702,0.693147180559945,3.29583686600432,0.0
TRIOK,0.0,4.57471097850338,0.0,5.41164605185503,0.0
PKETX;TRIOK,0.0,3.55534806148941,0.0,4.9416424226093,0.0
PKETF;TRIOK,0.0,3.55534806148941,0.0,4.9416424226093,0.0
PFL,0.693147180559945,2.484906649788,0.0,5.23644196282994,0.0
PPDK;TRIOK,0.0,2.19722457733621,0.0,4.27666611901605,0.0
PKETX;POR_2,0.0,2.70805020110221,0.0,4.11087386417331,0.0
PKETF;POR_2,0.0,2.63905732961525,0.0,4.11087386417331,0.0
STPT1,0.0,2.39789527279837,1.79175946922805,2.99573227355399,0.0
GLYDHDA,0.0,2.63905732961525,1.38629436111989,3.40119738166215,0.0
AGTi,0.0,2.63905732961525,1.38629436111989,3.40119738166215,0.0
GLYTA,0.0,2.63905732961525,1.38629436111989,3.40119738166215,0.0
PKETF;STPT1,0.0,1.79175946922805,1.38629436111989,2.83321334405621,0.0
PKETX;STPT1,0.0,1.6094379124341,1.38629436111989,2.83321334405621,0.0
AGTi;PKETX,0.0,1.79175946922805,1.38629436111989,3.43398720448514,0.0
GLYTA;PKETX,0.0,1.79175946922805,1.38629436111989,3.43398720448514,0.0
GLYTA;PKETF,0.0,1.79175946922805,1.38629436111989,3.43398720448514,0.0
AGTi;PKETF,0.0,1.79175946922805,1.38629436111989,3.43398720448514,0.0
GLYDHDA;PKETF,0.0,1.94591014905531,1.79175946922805,3.43398720448514,0.0
GLYDHDA;PKETX,0.0,1.94591014905531,1.79175946922805,3.43398720448514,0.0
PABB;PKETF,1.0986122886681,2.07944154167983,2.07944154167983,2.07944154167983,0.0
PABB;PKETX,1.0986122886681,2.07944154167983,2.07944154167983,2.07944154167983,0.0
PKETF;PYRDC2,0.0,2.07944154167983,2.07944154167983,2.07944154167983,0.0
ACALDCD;PKETX,0.0,2.07944154167983,2.07944154167983,2.07944154167983,0.0
PKETX;PYRDC2,0.0,2.07944154167983,2.07944154167983,2.07944154167983,0.0
ACALDCD;PKETF,0.0,2.07944154167983,2.07944154167983,2.07944154167983,0.0
DAPDH,2.39789527279837,0.0,2.56494935746153,2.56494935746153,0.0
FBA2,0.0,0.0,1.79175946922805,1.94591014905531,0.0
POX2,0.0,0.0,1.94591014905531,1.0986122886681,0.0
SPT_syn,0.0,0.0,1.6094379124341,3.29583686600432,0.0
DAPDH;PKETX,0.693147180559945,0.0,2.56494935746153,2.56494935746153,0.0
DAPDH;PKETF,0.693147180559945,0.0,2.56494935746153,2.56494935746153,0.0
ORNTAC;PFK_ppi,0.0,0.0,2.63905732961525,2.70805020110221,0.0
ORNTAC,0.0,0.0,2.70805020110221,2.77258872223978,0.0
ORNTAC;PKETF,0.0,0.0,2.70805020110221,2.70805020110221,0.0
ORNTAC;PKETX,0.0,0.0,2.70805020110221,2.70805020110221,0.0
SPTc,0.0,0.0,5.31320597904178,1.94591014905531,0.0
HPYRDC,0.0,0.0,5.06890420222023,1.6094379124341,0.0
PFK_ppi;SPTc,0.0,0.0,3.85014760171005,1.94591014905531,0.0
HPYRDC;PFK_ppi;SPTc,0.0,0.0,3.58351893845611,1.6094379124341,0.0
FDH7;FRDO5r;PFK_ppi,1.6094379124341,0.0,3.85014760171005,0.0,0.0
FDH6r;PFK_ppi,1.6094379124341,0.0,3.85014760171005,0.0,0.0
HSDx;PFK_ppi;PPDK,1.38629436111989,0.0,4.4543472962535,0.0,0.0
HSDxi;PFK_ppi;PPDK,1.38629436111989,0.0,4.4543472962535,0.0,0.0
PFK_ppi;PKETF;PPDK,1.79175946922805,0.0,4.81218435537241,0.0,0.0
PFK_ppi;PKETX;PPDK,1.6094379124341,0.0,4.81218435537241,0.0,0.0
FDH7;FRDO5r;H2ASE_syn,0.0,0.693147180559945,5.21493575760898,0.0,0.0
FDH6r;H2ASE_syn,0.0,0.693147180559945,5.21493575760898,0.0,0.0
INOSR;MI2DH;SPTc,0.0,0.0,5.40717177146011,0.0,0.0
FDH6r;SPTc,0.0,0.0,5.40717177146011,0.0,0.0
FDH7;FRDO5r;SPTc,0.0,0.0,5.40717177146011,0.0,0.0
2DHPFALDL;INOSR;MI2DH,0.0,0.0,5.39362754635236,0.0,0.0
DAAD8;FDH6r;SUCD4,0.0,0.0,5.39816270151775,0.0,0.0
DAAD8;FADMQOR;FDH6r,0.0,0.0,5.39816270151775,0.0,0.0
DAAD8;FDH6r;FRD,0.0,0.0,5.39816270151775,0.0,0.0
INOSR;MI2DH,0.0,0.0,5.44241771052179,0.0,0.0
FDH7;FRDO5r;PC,0.0,0.0,5.42053499927228,0.0,0.0
FDH6r;PYRC,0.0,0.0,5.42053499927228,0.0,0.0
FDH6r;PC,0.0,0.0,5.42053499927228,0.0,0.0
FDH7;FRDO5r;PYRC,0.0,0.0,5.42053499927228,0.0,0.0
INOSR;MI2DH;PYRC,0.0,0.0,5.4249500174814,0.0,0.0
INOSR;MI2DH;PC,0.0,0.0,5.4249500174814,0.0,0.0
FDH6r;H2ASE_syn;SUCD1,0.0,0.0,5.03043792139243,0.0,0.0
APSR;PFK_ppi;SO3R,0.0,0.0,4.99043258677873,0.0,0.0
PFK_ppi;SO3R;SO3TRDRD,0.0,0.0,4.99043258677873,0.0,0.0
APSR2;PFK_ppi;SO3R,0.0,0.0,4.99043258677873,0.0,0.0
PFK_ppi;SADT;SO3R,0.0,0.0,4.99043258677873,0.0,0.0
FDH7;POR_2;SPTc,0.0,0.0,4.969813299576,0.0,0.0
APSR;PFK_ppi;SADT,0.0,0.0,4.97673374242057,0.0,0.0
PFK_ppi;SADT;SO3TRDRD,0.0,0.0,4.97673374242057,0.0,0.0
APSR2;PFK_ppi;SADT,0.0,0.0,4.97673374242057,0.0,0.0
