Oxygen availability,aerobic,aerobic.1,aerobic.2,aerobic.3,aerobic.4,aerobic.5,aerobic.6,aerobic.7,microaerobic,microaerobic.1,anaerobic,anaerobic.1,anaerobic.2,anaerobic.3,microaerobic.2,microaerobic.3,anaerobic.4,microaerobic.4,anaerobic.5,microaerobic.5
Carbon source,methanol,formate,fructose,D-glucose,D-galactose,D-xylose,L-arabinose,glycerol,fructose,D-glucose,D-galactose,D-xylose,L-arabinose,fructose,D-xylose,L-arabinose,D-glucose,D-galactose,glycerol,glycerol
met__L,0.3,0,0.363636363636363,0.6,0.5,0.4,0.4,0.363636363636363,0.3,0.3,0.3,0.272727272727272,0.272727272727272,0.3,0.3,0.3,0.3,0.3,0.333333333333333,0.333333333333333
ac,0.375,0.444444444444444,0.444444444444444,0.444444444444444,0.444444444444444,0.444444444444444,0.444444444444444,0.5,0.375,0.375,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666666,0.666666666666666
acetone,0.375,0.444444444444444,0.444444444444444,0.444444444444444,0.444444444444444,0.444444444444444,0.444444444444444,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666666,0.666666666666666
4abut,0.375,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5
glu__L,0.375,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5
met_36592,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5
gln__L,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5
glu5p,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5
acorn,0.333333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.4,0.4,0.4,0.25,0.4,0.4,0.25,0.4,0.4,0.4
glu5sa,0.333333333333333,0.5,0.333333333333333,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
leu__L,0.363636363636363,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5
1pyr5c,0.333333333333333,0.5,0.333333333333333,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
